instrument_token,tradingsymbol,time,open,high,low,close,volume
256265,NIFTY 50,2015-04-13 13:41:00 UTC,8815.05,8815.45,8813.1,8813.1,0
256265,NIFTY 50,2015-04-13 13:42:00 UTC,8813.5,8815.8,8813.4,8814.05,0
256265,NIFTY 50,2015-04-13 13:43:00 UTC,8814,8814.25,8809.25,8809.7,0
256265,NIFTY 50,2015-04-13 13:44:00 UTC,8809.6,8811.2,8808.2,8808.2,0
256265,NIFTY 50,2015-04-13 13:45:00 UTC,8807.65,8808.8,8805.65,8806.15,0
256265,NIFTY 50,2015-04-13 13:46:00 UTC,8805.25,8806.7,8804.6,8805.5,0
256265,NIFTY 50,2015-04-13 13:47:00 UTC,8805.45,8806.05,8805.1,8805.15,0
256265,NIFTY 50,2015-04-13 13:48:00 UTC,8804.9,8808.4,8804.6,8808.4,0
256265,NIFTY 50,2015-04-13 13:49:00 UTC,8808.05,8809.7,8807.6,8808.5,0
256265,NIFTY 50,2015-04-13 13:50:00 UTC,8808.5,8808.75,8807,8808.5,0
256265,NIFTY 50,2015-04-13 13:51:00 UTC,8808.5,8810.5,8808.4,8810,0
256265,NIFTY 50,2015-04-13 13:52:00 UTC,8810.45,8812.85,8810.45,8811.7,0
