,symbol,time,open,high,low,close
194,NIFTY BANK,2015-04-13 12:29:00 UTC,18871.8,18879.45,18871.8,18873.3
195,NIFTY BANK,2015-04-13 12:30:00 UTC,18873.3,18881.55,18873.3,18879.3
196,NIFTY BANK,2015-04-13 12:31:00 UTC,18879.3,18882.1,18871.6,18882.1
197,NIFTY BANK,2015-04-13 12:32:00 UTC,18882.1,18882.1,18869.3,18869.3
198,NIFTY BANK,2015-04-13 12:33:00 UTC,18863.4,18868.7,18862.45,18866.1
199,NIFTY BANK,2015-04-13 12:34:00 UTC,18866.1,18866.75,18859.65,18864
200,NIFTY BANK,2015-04-13 12:35:00 UTC,18864,18864.25,18854.95,18860.05
201,NIFTY BANK,2015-04-13 12:36:00 UTC,18867.85,18872.6,18863.35,18872.6
202,NIFTY BANK,2015-04-13 12:37:00 UTC,18872.6,18872.6,18863.35,18865.95
203,NIFTY BANK,2015-04-13 12:38:00 UTC,18865.95,18882.6,18865.95,18878.25
204,NIFTY BANK,2015-04-13 12:39:00 UTC,18877.95,18883.1,18877.95,18880.95
205,NIFTY BANK,2015-04-13 12:40:00 UTC,18880.95,18883.75,18877.85,18881.45
206,NIFTY BANK,2015-04-13 12:41:00 UTC,18881.45,18882.8,18878.25,18879.05
207,NIFTY BANK,2015-04-13 12:42:00 UTC,18879.05,18879.05,18873.65,18879
208,NIFTY BANK,2015-04-13 12:43:00 UTC,18876.1,18880.9,18872.95,18878.3
209,NIFTY BANK,2015-04-13 12:44:00 UTC,18878.3,18878.3,18869.1,18869.1
210,NIFTY BANK,2015-04-13 12:45:00 UTC,18869.1,18874.9,18866.2,18871.3
211,NIFTY BANK,2015-04-13 12:46:00 UTC,18871.3,18872.65,18870.3,18871.15
212,NIFTY BANK,2015-04-13 12:47:00 UTC,18871.15,18872.45,18864.45,18864.45
213,NIFTY BANK,2015-04-13 12:48:00 UTC,18864.45,18867,18861.75,18864.5
214,NIFTY BANK,2015-04-13 12:49:00 UTC,18864.5,18864.5,18854.8,18855.2
215,NIFTY BANK,2015-04-13 12:50:00 UTC,18855.2,18861.4,18853.3,18854.05
216,NIFTY BANK,2015-04-13 12:51:00 UTC,18854.05,18854.05,18838.25,18840.8
217,NIFTY BANK,2015-04-13 12:52:00 UTC,18840.8,18842,18829.6,18834.7
218,NIFTY BANK,2015-04-13 12:53:00 UTC,18834.7,18849.05,18833.65,18848
219,NIFTY BANK,2015-04-13 12:54:00 UTC,18847.6,18847.6,18837.45,18839.25
220,NIFTY BANK,2015-04-13 12:55:00 UTC,18839.25,18844.95,18839.25,18842.1
221,NIFTY BANK,2015-04-13 12:56:00 UTC,18842.1,18851.95,18842.1,18848.75
222,NIFTY BANK,2015-04-13 12:57:00 UTC,18848.7,18854.85,18848.7,18854.85
223,NIFTY BANK,2015-04-13 12:58:00 UTC,18854.85,18860.25,18854.05,18856.05
224,NIFTY BANK,2015-04-13 12:59:00 UTC,18856.05,18856.05,18845.35,18846
225,NIFTY BANK,2015-04-13 13:00:00 UTC,18846,18854.1,18844.2,18854.1
226,NIFTY BANK,2015-04-13 13:01:00 UTC,18854.1,18854.1,18848.55,18849
227,NIFTY BANK,2015-04-13 13:02:00 UTC,18849,18854.4,18847.25,18848.8
228,NIFTY BANK,2015-04-13 13:03:00 UTC,18848.8,18853.55,18848.75,18851.8
229,NIFTY BANK,2015-04-13 13:04:00 UTC,18849.5,18855.1,18847.8,18850.35
230,NIFTY BANK,2015-04-13 13:05:00 UTC,18850.35,18857.65,18848.7,18848.7
231,NIFTY BANK,2015-04-13 13:06:00 UTC,18848.7,18850.15,18828.95,18833.65
232,NIFTY BANK,2015-04-13 13:07:00 UTC,18831.3,18836.05,18826.85,18831.5
233,NIFTY BANK,2015-04-13 13:08:00 UTC,18831.5,18844.05,18831.5,18841.15
234,NIFTY BANK,2015-04-13 13:09:00 UTC,18841.15,18843.75,18834.25,18841.2
235,NIFTY BANK,2015-04-13 13:10:00 UTC,18840.55,18844.8,18840,18841.15
236,NIFTY BANK,2015-04-13 13:11:00 UTC,18841.15,18844.8,18839.05,18840.95
237,NIFTY BANK,2015-04-13 13:12:00 UTC,18840.95,18846.8,18840.95,18843.5
238,NIFTY BANK,2015-04-13 13:13:00 UTC,18845.05,18865.65,18845.05,18859
239,NIFTY BANK,2015-04-13 13:14:00 UTC,18859,18868.05,18859,18866.55
240,NIFTY BANK,2015-04-13 13:15:00 UTC,18866.55,18870.6,18865.75,18866.5
241,NIFTY BANK,2015-04-13 13:16:00 UTC,18866.5,18874.3,18866.5,18872.85
242,NIFTY BANK,2015-04-13 13:17:00 UTC,18870,18871.35,18866.4,18871.35
243,NIFTY BANK,2015-04-13 13:18:00 UTC,18871.35,18872.15,18862.25,18870.55
244,NIFTY BANK,2015-04-13 13:19:00 UTC,18870.55,18875.1,18869.8,18875.1
245,NIFTY BANK,2015-04-13 13:20:00 UTC,18875.1,18881.45,18873.35,18878.75
246,NIFTY BANK,2015-04-13 13:21:00 UTC,18878.75,18881.55,18878.4,18881
247,NIFTY BANK,2015-04-13 13:22:00 UTC,18881,18882.15,18878.35,18878.35
248,NIFTY BANK,2015-04-13 13:23:00 UTC,18878.35,18879.25,18873.05,18874.55
249,NIFTY BANK,2015-04-13 13:24:00 UTC,18874.55,18875.95,18869.6,18873.8
250,NIFTY BANK,2015-04-13 13:25:00 UTC,18871.25,18876,18870.95,18874.35
251,NIFTY BANK,2015-04-13 13:26:00 UTC,18874.35,18876.45,18867.55,18873.95
252,NIFTY BANK,2015-04-13 13:27:00 UTC,18873.95,18878.35,18873.15,18878
253,NIFTY BANK,2015-04-13 13:28:00 UTC,18877.25,18878.75,18874.25,18878.75
254,NIFTY BANK,2015-04-13 13:29:00 UTC,18877.5,18877.5,18868.5,18869.7
255,NIFTY BANK,2015-04-13 13:30:00 UTC,18869.7,18876.95,18868.5,18871.25
256,NIFTY BANK,2015-04-13 13:31:00 UTC,18871.25,18872.3,18865.6,18871.65
257,NIFTY BANK,2015-04-13 13:32:00 UTC,18872.5,18890.65,18871.9,18886.2
258,NIFTY BANK,2015-04-13 13:33:00 UTC,18886.2,18886.6,18883.55,18883.8
259,NIFTY BANK,2015-04-13 13:34:00 UTC,18883.8,18883.8,18877.05,18879.4
260,NIFTY BANK,2015-04-13 13:35:00 UTC,18879.4,18884,18879.4,18883.25
261,NIFTY BANK,2015-04-13 13:36:00 UTC,18882.75,18884.6,18875.65,18882.55
262,NIFTY BANK,2015-04-13 13:37:00 UTC,18882.55,18882.55,18874.95,18879.3
263,NIFTY BANK,2015-04-13 13:38:00 UTC,18879.3,18881.4,18875.15,18877.05
264,NIFTY BANK,2015-04-13 13:39:00 UTC,18877.95,18880.7,18874.15,18880.7
265,NIFTY BANK,2015-04-13 13:40:00 UTC,18880.7,18880.7,18871.3,18871.9
266,NIFTY BANK,2015-04-13 13:41:00 UTC,18871.9,18872.85,18867.55,18869.45
267,NIFTY BANK,2015-04-13 13:42:00 UTC,18867.9,18871.95,18866.65,18867.45
268,NIFTY BANK,2015-04-13 13:43:00 UTC,18867.45,18867.45,18845.95,18846.7
269,NIFTY BANK,2015-04-13 13:44:00 UTC,18846.7,18854.95,18845.05,18845.05
270,NIFTY BANK,2015-04-13 13:45:00 UTC,18845.05,18847.8,18835.7,18835.7
271,NIFTY BANK,2015-04-13 13:46:00 UTC,18831.95,18837,18828.45,18834.2
272,NIFTY BANK,2015-04-13 13:47:00 UTC,18834.2,18841.85,18833.25,18839
273,NIFTY BANK,2015-04-13 13:48:00 UTC,18839,18843.4,18836.3,18843.4
274,NIFTY BANK,2015-04-13 13:49:00 UTC,18846.1,18848.7,18839.95,18842
275,NIFTY BANK,2015-04-13 13:50:00 UTC,18842,18843.8,18839.2,18843.8
276,NIFTY BANK,2015-04-13 13:51:00 UTC,18843.8,18845.4,18841.85,18842.95
277,NIFTY BANK,2015-04-13 13:52:00 UTC,18844,18849.6,18844,18849.6
278,NIFTY BANK,2015-04-13 13:53:00 UTC,18849.6,18849.6,18842.3,18844.7
279,NIFTY BANK,2015-04-13 13:54:00 UTC,18844.7,18846.15,18843.9,18843.9
280,NIFTY BANK,2015-04-13 13:55:00 UTC,18843.9,18843.9,18834.55,18836.5
281,NIFTY BANK,2015-04-13 13:56:00 UTC,18838.1,18838.1,18828.35,18828.4
282,NIFTY BANK,2015-04-13 13:57:00 UTC,18828.4,18828.4,18812.6,18812.6
